City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,North Bend,US,43.4065,-124.2243,43.92,100,0,3.44,clear sky
255,Otradnoye,RU,59.7775,30.8181,24.85,98,96,4.63,overcast clouds
256,San Policarpo,PH,12.1791,125.5072,81.61,80,99,6.89,overcast clouds
257,West Helena,US,34.5507,-90.6418,30.6,48,0,8.7,clear sky
258,Santarem,BR,-2.4431,-54.7083,73.53,100,100,3.44,moderate rain
259,Port-Cartier,CA,50.0334,-66.8654,-9.29,97,21,7.14,few clouds
260,Takaka,NZ,-40.85,172.8,75.97,47,13,2.21,few clouds
261,Araouane,ML,18.9048,-3.5265,64.47,18,33,10.89,scattered clouds
262,Charyshskoye,RU,51.3978,83.5598,16.27,69,70,1.88,broken clouds
263,Itarema,BR,-2.9248,-39.9167,73.47,83,100,3.42,overcast clouds
264,Maneadero,MX,31.7167,-116.5667,57.18,26,24,9.04,few clouds
265,Nelson Bay,AU,-32.7167,152.15,87.76,67,2,4.0,clear sky
266,Am Timan,TD,11.0297,20.2827,64.44,23,11,5.95,few clouds
267,Porto Walter,BR,-8.2686,-72.7439,74.41,93,100,2.98,overcast clouds
268,Piacabucu,BR,-10.4056,-36.4344,78.01,81,100,10.0,light rain
269,Bani Walid,LY,31.7566,13.9942,44.85,44,0,8.86,clear sky
270,Kuytun,RU,54.3419,101.5036,-4.83,96,98,2.91,overcast clouds
271,Newport,GB,51.5877,-2.9984,51.85,93,99,3.0,overcast clouds
272,Acapulco,MX,16.8634,-99.8901,75.02,88,40,2.3,scattered clouds
273,Balotra,IN,25.8333,72.2333,69.4,16,0,4.32,clear sky
274,Nishihara,JP,26.1842,127.7558,65.48,88,75,11.5,broken clouds
275,Moose Factory,CA,51.2585,-80.6094,-16.6,76,0,3.44,clear sky
276,Floresta,BR,-8.6011,-38.5686,73.99,80,100,13.91,light rain
277,Blackwater,AU,-23.5833,148.8833,94.75,25,7,11.36,clear sky
278,Kyren,RU,51.6828,102.1408,6.62,84,28,1.14,scattered clouds
279,Koumac,NC,-20.5667,164.2833,84.16,72,98,14.29,overcast clouds
280,Benjamin Hill,MX,30.1667,-111.1,58.17,27,90,7.87,overcast clouds
281,Chuy,UY,-33.6971,-53.4616,63.5,79,0,3.96,clear sky
282,Jamame,SO,0.0722,42.7506,79.02,73,100,13.65,overcast clouds
283,Arraial Do Cabo,BR,-22.9661,-42.0278,75.52,93,98,8.1,overcast clouds
284,Malanje,AO,-9.5402,16.341,64.89,97,100,5.97,overcast clouds
285,Kaifeng,CN,34.7911,114.3483,38.26,61,92,5.97,overcast clouds
286,Zahirabad,IN,17.6833,77.6167,72.28,20,20,8.37,few clouds
287,Lagos,NG,6.5833,3.75,77.32,91,15,3.89,few clouds
288,Bonfim,BR,3.0833,-59.95,79.2,60,93,10.18,overcast clouds
289,Lerwick,GB,60.1545,-1.1494,50.0,92,100,37.13,overcast clouds
290,Garden City,US,42.3256,-83.331,12.02,78,75,3.44,broken clouds
291,Norman Wells,CA,65.282,-126.8329,-11.16,70,100,6.91,light snow
292,Indore,IN,22.7179,75.8333,66.38,34,0,4.61,haze
293,Mustafakemalpasa,TR,40.0353,28.4117,39.11,83,100,1.43,overcast clouds
294,Desbiens,CA,48.4178,-71.9495,-21.35,97,44,2.3,scattered clouds
295,Yerbogachen,RU,61.2767,108.0108,-6.88,96,94,6.78,overcast clouds
296,Bandar-E Lengeh,IR,26.5579,54.8807,64.51,63,1,4.61,clear sky
297,Lebork,PL,54.5392,17.7501,34.92,89,100,11.16,overcast clouds
298,Taksimo,RU,56.3444,114.8794,-0.35,85,59,0.76,broken clouds
299,Qarayeri,AZ,40.7886,46.3066,31.08,59,40,4.61,scattered clouds
300,Toora-Khem,RU,52.4675,96.11,-6.02,94,94,2.35,overcast clouds
